"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"26","Chris Godwin",TB,"vs. NO","4 out of 5 stars","B","8.7"
"27","D.J. Chark Jr.",JAC,"vs. HOU","5 out of 5 stars","B","8.5"
"28","Darius Slayton",NYG,"at WAS","1 out of 5 stars","B","8.3"
"29","DeVante Parker",MIA,"at ARI","3 out of 5 stars","B","8.2"
"30","Amari Cooper",DAL,"vs. PIT","5 out of 5 stars","B","8.1"
"31","Antonio Brown",TB,"vs. NO","4 out of 5 stars","B","8.1"
"32","Corey Davis",TEN,"vs. CHI","1 out of 5 stars","B","7.8"
"33","Jerry Jeudy",DEN,"at ATL","5 out of 5 stars","B-","7.7"
"34","John Brown",BUF,"vs. SEA","5 out of 5 stars","B-","7.6"
"35","Mecole Hardman",KC,"vs. CAR","1 out of 5 stars","C+","7.5"
"36","Sterling Shepard",NYG,"at WAS","1 out of 5 stars","C+","7.4"
"37","Cole Beasley",BUF,"vs. SEA","5 out of 5 stars","C+","7.4"
"38","Christian Kirk",ARI,"vs. MIA","3 out of 5 stars","C+","7.2"
"39","Jakobi Meyers",NE,"at NYJ","4 out of 5 stars","C","6.9"
"40","Curtis Samuel",CAR,"at KC","1 out of 5 stars","C","6.8"
"41","Henry Ruggs III",LV,"at LAC","3 out of 5 stars","C","6.8"
"42","Laviska Shenault Jr.",JAC,"vs. HOU","5 out of 5 stars","C","6.7"
"43","CeeDee Lamb",DAL,"vs. PIT","5 out of 5 stars","C","6.4"
"44","Jamison Crowder",NYJ,"vs. NE","2 out of 5 stars","C","6.4"
"45","Russell Gage",ATL,"vs. DEN","3 out of 5 stars","C","6.4"
"46","Tim Patrick",DEN,"at ATL","5 out of 5 stars","C","6.3"
"47","Emmanuel Sanders",NO,"at TB","3 out of 5 stars","C","6.3"
"48","Darnell Mooney",CHI,"at TEN","5 out of 5 stars","C","6.2"
"49","Randall Cobb",HOU,"at JAC","4 out of 5 stars","C","6.2"
"50","Keelan Cole Sr.",JAC,"vs. HOU","5 out of 5 stars","C-","6.1"
"51","Michael Gallup",DAL,"vs. PIT","5 out of 5 stars","C-","5.9"
"52","Preston Williams",MIA,"at ARI","3 out of 5 stars","C-","5.8"
"53","Zach Pascal",IND,"vs. BAL","2 out of 5 stars","C-","5.7"
"54","Anthony Miller",CHI,"at TEN","5 out of 5 stars","D+","5.6"
"55","Denzel Mims",NYJ,"vs. NE","2 out of 5 stars","D+","5.6"
"56","Marquez Valdes-Scantling",GB,"at SF","3 out of 5 stars","D+","5.6"
"57","Trent Taylor",SF,"vs. GB","2 out of 5 stars","C-","5.5"
"58","Danny Amendola",DET,"at MIN","5 out of 5 stars","D","5.5"
"59","Marvin Hall",DET,"at MIN","5 out of 5 stars","D+","5.2"
"60","Hunter Renfrow",LV,"at LAC","3 out of 5 stars","D","5.2"
"61","Marcus Johnson",IND,"vs. BAL","2 out of 5 stars","D","5.1"
"62","Nelson Agholor",LV,"at LAC","3 out of 5 stars","D","5.1"
"63","KJ Hamler",DEN,"at ATL","5 out of 5 stars","D","5.0"
"64","Demarcus Robinson",KC,"vs. CAR","1 out of 5 stars","D","5.0"
"65","Damiere Byrd",NE,"at NYJ","4 out of 5 stars","D","4.8"
"66","Scotty Miller",TB,"vs. NO","4 out of 5 stars","D-","4.8"
"67","Michael Pittman Jr.",IND,"vs. BAL","2 out of 5 stars","D-","4.7"
"68","Breshad Perriman",NYJ,"vs. NE","2 out of 5 stars","F","4.6"
"69","Tre'Quan Smith",NO,"at TB","3 out of 5 stars","F","4.6"
