"Player","Team","REC","YDS","TDS","FL","FPTS"
"Andrew Beck","DEN","0.2","2.1","0.1","0.0","0.6"
"Jeremy Sprinkle","WAS","0.4","3.6","0.0","0.0","0.6"
"J.P. Holtz","CHI","0.3","3.5","0.0","0.0","0.5"
"Reggie Gilliam","BUF","0.3","3.0","0.0","0.0","0.5"
"Stephen Anderson","LAC","0.2","2.3","0.0","0.0","0.3"
"Mason Schreck","CIN","0.2","2.1","0.0","0.0","0.3"
"Daniel Brown","NYJ","0.2","2.0","0.0","0.0","0.3"
"Sean McKeon","DAL","0.2","2.0","0.0","0.0","0.3"
"Kevin Rader","PIT","0.1","1.0","0.0","0.0","0.2"
""
""
