"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Dante Pettis","NYG","0.2","2.4","0.0","0.0","0.0","0.0","0.0","0.3"
"Marcus Kemp","KC","0.1","2.3","0.0","0.0","0.1","0.0","0.0","0.3"
"Trent Sherfield","ARI","0.1","1.9","0.0","0.0","0.0","0.0","0.0","0.3"
"JJ Arcega-Whiteside","PHI","0.1","2.0","0.0","0.0","0.0","0.0","0.0","0.3"
"K.J. Hill","LAC","0.1","1.6","0.0","0.0","0.1","0.0","0.0","0.3"
"Vyncint Smith","NYJ","0.1","2.0","0.0","0.0","0.0","0.0","0.0","0.3"
"K.J. Osborn","MIN","0.0","1.5","0.0","0.0","0.1","0.0","0.0","0.2"
"Joe Reed","LAC","0.1","0.8","0.0","0.2","0.5","0.0","0.0","0.2"
"Penny Hart","SEA","0.1","1.2","0.0","0.0","0.0","0.0","0.0","0.2"
"Austin Carr","NO","0.1","0.6","0.0","0.0","0.0","0.0","0.0","0.1"
"Derrick Willies","CLE","0.1","0.6","0.0","0.0","0.0","0.0","0.0","0.1"
"Terry Godwin","JAC","0.1","0.6","0.0","0.0","0.0","0.0","0.0","0.1"
"Damion Ratley","HOU","0.1","0.6","0.0","0.0","0.0","0.0","0.0","0.1"
"Stanley Morgan Jr.","CIN","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Diontae Spencer","DEN","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Gehrig Dieter","KC","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
""
""
