"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Matt Barkley","BUF","1.1","0.7","7.3","0.1","0.0","0.2","0.2","0.0","0.0","0.7"
"Geno Smith","SEA","1.2","0.6","7.1","0.1","0.0","0.2","0.2","0.0","0.0","0.7"
"Chad Henne","KC","1.5","1.0","11.6","0.1","0.0","0.2","0.1","0.0","0.0","0.7"
"C.J. Beathard","SF","3.6","2.0","19.0","0.0","0.2","0.6","1.1","0.0","0.0","0.7"
"Logan Woodside","TEN","0.8","0.6","10.2","0.1","0.0","0.2","0.2","0.0","0.0","0.7"
"Matt Schaub","ATL","1.6","1.0","10.8","0.1","0.1","0.2","0.2","0.0","0.0","0.7"
"Case Keenum","CLE","1.3","0.8","9.8","0.1","0.0","0.1","0.4","0.0","0.0","0.6"
"Clayton Thorson","NYG","1.1","0.7","14.2","0.0","0.1","0.1","0.1","0.0","0.0","0.6"
"John Wolford","LAR","1.1","0.8","8.6","0.1","0.0","0.1","0.1","0.0","0.0","0.6"
"Brett Rypien","DEN","1.3","0.7","8.2","0.1","0.1","0.3","0.3","0.0","0.0","0.6"
"Joe Flacco","NYJ","1.3","0.8","8.9","0.1","0.1","0.2","0.5","0.0","0.0","0.5"
"Ryan Finley","CIN","5.3","2.9","25.5","0.0","0.3","0.6","1.3","0.0","0.1","0.5"
"Brett Hundley","ARI","1.4","0.9","8.8","0.0","0.0","0.3","1.2","0.0","0.0","0.5"
"AJ McCarron","HOU","1.4","1.0","11.2","0.0","0.0","0.1","0.2","0.0","0.0","0.5"
"Sean Mannion","MIN","1.2","0.8","9.8","0.0","0.0","0.3","0.2","0.0","0.0","0.5"
"Dwayne Haskins","WAS","1.3","0.8","11.7","0.0","0.1","0.2","0.4","0.0","0.0","0.4"
"Garrett Gilbert","DAL","1.5","0.9","8.7","0.0","0.1","0.3","1.1","0.0","0.0","0.3"
"Jacob Eason","IND","0.6","0.4","4.9","0.0","0.0","0.0","0.1","0.0","0.0","0.2"
"Jake Fromm","BUF","0.3","0.2","1.8","0.0","0.0","0.0","0.1","0.0","0.0","0.1"
""
""
