"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"T.J. Yeldon","BUF","2.0","11.1","0.0","0.2","1.9","0.0","0.0","1.4"
"C.J. Ham","MIN","1.1","3.4","0.0","0.7","5.9","0.0","0.0","1.3"
"Dare Ogunbowale","JAC","0.9","1.4","0.0","1.0","6.5","0.0","0.0","1.3"
"Jason Huntley","PHI","0.0","5.5","0.0","0.4","2.6","0.0","0.0","1.2"
"Cullen Gillaspia","HOU","2.2","5.4","0.0","0.5","2.7","0.0","0.0","1.2"
"Alex Armah","CAR","1.0","4.4","0.0","0.5","2.3","0.0","0.0","1.2"
"Elijhaa Penny","NYG","2.7","6.1","0.0","0.5","2.1","0.0","0.0","1.2"
"J.J. Taylor","NE","2.4","10.0","0.0","0.1","0.6","0.0","0.0","1.1"
"Jonathan Williams","DET","0.0","5.2","0.0","0.3","1.9","0.0","0.0","1.1"
"Austin Walter","SF","1.8","3.8","0.0","0.6","3.1","0.0","0.0","1.1"
"Patrick Ricard","BAL","1.3","2.5","0.0","0.7","2.9","0.0","0.0","1.0"
"Andy Janovich","CLE","2.2","3.3","0.0","0.6","3.0","0.0","0.0","1.0"
"Trey Edmunds","PIT","0.0","4.5","0.0","0.3","1.3","0.0","0.0","1.0"
"Senorise Perry","TEN","1.7","5.2","0.0","0.7","1.7","0.0","0.0","1.0"
"Michael Burton","NO","1.7","4.8","0.0","0.5","1.8","0.0","0.0","1.0"
"Chandler Cox","MIA","0.8","1.8","0.0","0.5","3.4","0.0","0.0","0.8"
"Dwayne Washington","NO","0.0","2.6","0.0","0.2","2.9","0.0","0.0","0.8"
"Trayveon Williams","CIN","1.2","3.7","0.1","0.2","0.8","0.0","0.0","0.8"
"Xavier Jones","LAR","0.0","0.8","0.0","0.3","3.3","0.0","0.0","0.8"
"Jeremy Cox","DEN","0.0","2.3","0.0","0.3","2.3","0.0","0.0","0.8"
"Gabe Nabers","LAC","0.3","0.9","0.0","0.3","1.3","0.1","0.0","0.7"
"Khari Blasingame","TEN","0.0","0.0","0.0","0.4","2.8","0.0","0.0","0.7"
"Derek Watt","PIT","0.3","0.3","0.1","0.2","1.2","0.0","0.0","0.6"
"Taiwan Jones","BUF","0.0","0.1","0.0","0.3","3.0","0.0","0.0","0.6"
"John Lovett","GB","0.0","0.4","0.0","0.3","1.6","0.0","0.0","0.5"
"Nick Bellore","SEA","0.0","0.0","0.0","0.2","1.1","0.0","0.0","0.3"
"Ty Montgomery","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Scottie Phillips","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
