"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Teddy Bridgewater","CAR","27.7","18.7","210.7","1.5","0.7","3.3","12.4","0.1","0.1","14.7"
"Andy Dalton","DAL","36.4","22.7","255.6","1.4","1.0","2.0","8.9","0.1","0.2","14.7"
"Baker Mayfield","CLE","30.9","18.8","217.1","1.5","0.9","2.6","9.7","0.1","0.1","14.4"
"Phillip Walker","CAR","29.3","18.9","218.0","1.3","0.8","1.9","10.7","0.1","0.1","13.8"
"Joe Flacco","NYJ","34.4","21.3","233.3","1.2","0.9","1.5","4.0","0.0","0.1","12.8"
"Jake Luton","JAC","36.1","21.8","237.2","1.1","1.0","1.7","5.9","0.1","0.2","12.6"
"Jalen Hurts","PHI","0.9","0.6","9.4","0.1","0.1","1.8","8.3","0.1","0.0","1.6"
"Jameis Winston","NO","3.5","2.4","21.5","0.2","0.1","0.4","1.1","0.0","0.0","1.4"
"Marcus Mariota","LV","1.3","0.9","9.3","0.1","0.0","0.3","1.5","0.0","0.0","0.9"
"Chad Henne","KC","1.5","1.0","15.0","0.1","0.0","0.2","0.1","0.0","0.0","0.9"
"Ryan Finley","CIN","1.5","1.0","15.5","0.1","0.0","0.2","0.5","0.0","0.0","0.9"
"David Blough","DET","1.5","0.9","9.9","0.1","0.0","0.2","1.1","0.0","0.0","0.9"
"Matt Schaub","ATL","1.6","1.1","11.8","0.1","0.0","0.3","0.2","0.0","0.0","0.9"
"James Morgan","NYJ","0.0","0.0","17.7","0.1","0.1","0.0","0.0","0.0","0.0","0.8"
"Dwayne Haskins","WAS","1.3","0.8","14.5","0.1","0.1","0.2","0.3","0.0","0.0","0.8"
"Jarrett Stidham","NE","1.2","0.8","13.4","0.1","0.0","0.3","0.6","0.0","0.0","0.8"
"Tyrod Taylor","LAC","1.5","1.1","12.0","0.1","0.0","0.3","0.5","0.0","0.0","0.8"
"Will Grier","CAR","0.0","0.0","15.8","0.1","0.1","0.0","0.0","0.0","0.0","0.8"
"John Wolford","LAR","1.1","0.7","8.0","0.1","0.0","0.1","0.2","0.0","0.0","0.7"
"Case Keenum","CLE","1.2","0.8","11.3","0.1","0.0","0.1","0.4","0.0","0.0","0.7"
"Mason Rudolph","PIT","1.5","1.1","12.9","0.1","0.1","0.2","0.5","0.0","0.0","0.7"
"Nate Sudfeld","PHI","1.1","0.7","7.9","0.1","0.0","0.2","0.2","0.0","0.0","0.7"
"Chase Daniel","DET","1.5","0.9","10.7","0.1","0.0","0.2","0.7","0.0","0.0","0.7"
"Ryan Fitzpatrick","MIA","1.4","0.9","9.6","0.1","0.0","0.3","0.6","0.0","0.0","0.7"
"Blaine Gabbert","TB","1.5","0.9","11.4","0.1","0.1","0.2","0.1","0.0","0.0","0.7"
"Brett Rypien","DEN","1.3","0.8","12.7","0.1","0.1","0.2","0.7","0.0","0.0","0.7"
"Geno Smith","SEA","1.2","0.6","8.9","0.1","0.0","0.2","0.2","0.0","0.0","0.6"
"Garrett Gilbert","DAL","1.5","0.9","9.8","0.1","0.1","0.3","0.6","0.0","0.0","0.6"
"Brett Hundley","ARI","1.5","0.9","10.4","0.0","0.0","0.3","1.3","0.0","0.0","0.5"
"Jacoby Brissett","IND","0.7","0.5","10.0","0.0","0.0","0.1","0.3","0.0","0.0","0.5"
"Robert Griffin III","BAL","1.2","0.8","8.3","0.0","0.0","0.3","1.1","0.0","0.0","0.5"
"AJ McCarron","HOU","1.4","0.9","12.2","0.0","0.1","0.1","0.2","0.0","0.0","0.4"
"Sean Mannion","MIN","1.1","0.7","9.0","0.0","0.0","0.3","0.3","0.0","0.0","0.4"
"Logan Woodside","TEN","0.9","0.6","9.1","0.0","0.0","0.1","0.2","0.0","0.0","0.4"
"Tim Boyle","GB","0.7","0.5","6.7","0.0","0.0","0.2","0.1","0.0","0.0","0.3"
"Jacob Eason","IND","0.6","0.4","4.9","0.0","0.0","0.0","0.1","0.0","0.0","0.2"
"Mike Glennon","JAC","0.7","0.4","4.3","0.0","0.0","0.0","0.1","0.0","0.0","0.2"
""
""
