"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Auden Tate","CIN","1.7","21.8","0.1","0.0","0.0","0.0","0.0","3.5"
"Braxton Berrios","NYJ","1.8","19.1","0.1","0.1","0.7","0.0","0.0","3.4"
"Miles Boykin","BAL","1.5","20.7","0.1","0.0","0.0","0.0","0.0","3.3"
"Malcolm Perry","MIA","1.5","18.1","0.1","0.4","2.0","0.0","0.0","3.2"
"Marquez Callaway","NO","1.6","19.2","0.1","0.1","0.4","0.0","0.0","3.2"
"Jamal Agnew","DET","1.4","16.0","0.1","0.4","2.4","0.0","0.0","3.2"
"Freddie Swain","SEA","1.4","17.3","0.1","0.0","0.1","0.0","0.0","3.0"
"Donovan Peoples-Jones","CLE","1.3","17.9","0.1","0.1","0.4","0.0","0.0","3.0"
"Scotty Miller","TB","1.3","18.3","0.1","0.2","1.0","0.0","0.0","3.0"
"Kenny Stills","HOU","1.2","18.0","0.1","0.0","0.0","0.0","0.0","3.0"
"Kalif Raymond","TEN","1.2","19.3","0.1","0.2","0.2","0.0","0.0","2.9"
"Deonte Harris","NO","1.4","15.3","0.1","0.4","2.1","0.0","0.0","2.8"
"Marcus Johnson","IND","1.2","18.6","0.1","0.0","0.0","0.0","0.0","2.7"
"Cam Batson","TEN","1.4","15.3","0.1","0.1","0.7","0.0","0.0","2.7"
"KhaDarel Hodge","CLE","1.3","16.0","0.1","0.1","0.3","0.0","0.0","2.6"
"Bryan Edwards","LV","1.3","15.4","0.1","0.1","0.4","0.0","0.0","2.6"
"Cedrick Wilson","DAL","1.3","15.1","0.1","0.1","1.0","0.0","0.0","2.5"
"Chad Beebe","MIN","1.2","15.1","0.1","0.1","0.2","0.0","0.0","2.5"
"Mack Hollins","MIA","1.2","14.7","0.0","0.0","0.0","0.0","0.0","2.3"
"Antonio Callaway","MIA","1.1","14.4","0.0","0.0","0.1","0.0","0.0","2.3"
"Isaiah Ford","NE","1.2","13.3","0.0","0.0","0.3","0.0","0.0","2.2"
"Mike Thomas","CIN","1.1","13.7","0.1","0.0","0.2","0.0","0.0","2.2"
"Collin Johnson","JAC","1.1","13.4","0.0","0.1","0.3","0.0","0.0","2.2"
"Antonio Gandy-Golden","WAS","0.8","12.3","0.1","0.4","1.9","0.0","0.0","2.1"
"Olabisi Johnson","MIN","1.0","13.9","0.0","0.0","0.1","0.0","0.0","2.1"
"Ray-Ray McCloud","PIT","1.1","9.1","0.0","0.5","3.9","0.0","0.1","2.1"
"Dez Bryant","BAL","0.9","12.3","0.0","0.1","0.6","0.0","0.0","2.0"
"Isaiah Zuber","NE","1.2","13.4","0.0","0.1","0.4","0.0","0.0","1.9"
"DeMichael Harris","IND","0.9","11.8","0.0","0.1","1.1","0.0","0.0","1.9"
"Christian Blake","ATL","1.0","11.3","0.0","0.1","0.2","0.0","0.0","1.9"
"Lynn Bowden Jr.","MIA","0.7","8.2","0.1","0.4","2.5","0.0","0.0","1.9"
"Van Jefferson","LAR","0.9","11.0","0.0","0.0","0.3","0.0","0.0","1.8"
"Kirk Merritt","MIA","0.9","11.6","0.0","0.0","0.2","0.0","0.0","1.6"
"Byron Pringle","KC","0.8","9.5","0.0","0.0","0.2","0.0","0.0","1.6"
"Jeff Smith","NYJ","0.8","9.4","0.0","0.1","0.2","0.0","0.0","1.5"
"Brandon Zylstra","CAR","0.7","9.8","0.0","0.1","0.2","0.0","0.0","1.4"
"John Hightower","PHI","0.7","9.1","0.0","0.1","0.2","0.0","0.0","1.4"
"Noah Brown","DAL","0.8","8.3","0.0","0.0","0.0","0.0","0.0","1.4"
"Equanimeous St. Brown","GB","0.6","8.7","0.0","0.0","0.1","0.0","0.0","1.3"
"Zay Jones","LV","0.6","7.1","0.0","0.0","0.0","0.0","0.0","1.3"
"Tyler Johnson","TB","0.6","8.7","0.0","0.0","0.1","0.0","0.0","1.3"
"Nick Westbrook-Ikhine","TEN","0.6","7.1","0.0","0.0","0.1","0.0","0.0","1.1"
"Darrius Shepherd","GB","0.6","7.8","0.0","0.0","0.1","0.0","0.0","1.1"
"Malik Taylor","GB","0.5","7.2","0.0","0.0","0.5","0.0","0.0","1.1"
"Jaydon Mickens","TB","0.4","5.8","0.0","0.0","0.5","0.0","0.0","1.0"
"Brandon Powell","ATL","0.5","5.8","0.0","0.0","0.3","0.0","0.0","1.0"
"Dan Chisena","MIN","0.2","6.2","0.0","0.0","0.1","0.0","0.0","0.9"
"Taywan Taylor","CLE","0.4","5.8","0.0","0.0","0.2","0.0","0.0","0.9"
"Joe Reed","LAC","0.4","4.8","0.0","0.0","0.6","0.0","0.0","0.8"
"K.J. Osborn","MIN","0.2","5.0","0.0","0.0","0.2","0.0","0.0","0.8"
"Terry Godwin","JAC","0.4","5.4","0.0","0.0","0.1","0.0","0.0","0.8"
"Gunner Olszewski","NE","0.4","4.6","0.0","0.0","0.5","0.0","0.0","0.7"
"Matthew Slater","NE","0.2","4.4","0.0","0.0","0.1","0.0","0.0","0.7"
"Keke Coutee","HOU","0.2","3.8","0.0","0.0","0.2","0.0","0.0","0.6"
"Pharoh Cooper","CAR","0.4","4.0","0.0","0.0","0.3","0.0","0.0","0.6"
"K.J. Hill","LAC","0.3","3.6","0.0","0.0","0.1","0.0","0.0","0.6"
"Diontae Spencer","DEN","0.2","3.1","0.0","0.0","0.6","0.0","0.0","0.5"
"James Proche","BAL","0.2","3.5","0.0","0.0","0.2","0.0","0.0","0.5"
"Trent Sherfield","ARI","0.3","3.7","0.0","0.0","0.0","0.0","0.0","0.5"
"Penny Hart","SEA","0.2","3.1","0.0","0.0","0.1","0.0","0.0","0.5"
"Justin Watson","TB","0.1","2.7","0.0","0.0","0.0","0.0","0.0","0.4"
"Alex Erickson","CIN","0.2","2.2","0.0","0.0","0.5","0.0","0.0","0.4"
"Nsimba Webster","LAR","0.1","2.8","0.0","0.0","0.4","0.0","0.0","0.4"
"Quez Watkins","PHI","0.1","2.4","0.0","0.0","0.2","0.0","0.0","0.4"
"Jeff Badet","WAS","0.2","2.3","0.0","0.0","0.0","0.0","0.0","0.3"
"Marcus Kemp","KC","0.2","2.1","0.0","0.0","0.1","0.0","0.0","0.3"
""
""
