"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Joe Flacco","NYJ","1.3","0.8","13.2","0.1","0.1","0.2","0.6","0.0","0.0","0.7"
"Garrett Gilbert","DAL","1.4","0.9","9.7","0.1","0.1","0.3","1.2","0.0","0.0","0.7"
"Ryan Finley","CIN","1.4","0.9","9.3","0.1","0.1","0.3","0.9","0.0","0.0","0.7"
"AJ McCarron","HOU","1.4","1.0","13.6","0.0","0.0","0.1","0.2","0.0","0.0","0.6"
"Brett Hundley","ARI","1.5","0.9","10.7","0.0","0.0","0.3","1.3","0.0","0.0","0.6"
"Geno Smith","SEA","1.1","0.6","9.7","0.0","0.0","0.2","0.1","0.0","0.0","0.5"
"Jacoby Brissett","IND","0.7","0.5","8.4","0.0","0.0","0.1","0.3","0.0","0.0","0.4"
"Sean Mannion","MIN","1.1","0.7","8.0","0.0","0.0","0.3","0.3","0.0","0.0","0.4"
"Logan Woodside","TEN","0.9","0.6","6.6","0.0","0.0","0.1","0.2","0.0","0.0","0.3"
"Tim Boyle","GB","0.8","0.5","5.4","0.0","0.0","0.2","0.2","0.0","0.0","0.2"
"Jacob Eason","IND","0.7","0.5","4.8","0.0","0.0","0.0","0.1","0.0","0.0","0.2"
"Jake Fromm","BUF","0.3","0.2","2.0","0.0","0.0","0.0","0.1","0.0","0.0","0.1"
""
""
