"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Chase Edmonds","ARI","6.3","29.3","0.1","3.4","27.1","0.1","0.0","8.8"
"James White","NE","5.1","18.5","0.1","4.4","35.8","0.1","0.0","8.8"
"Frank Gore","NYJ","13.6","56.9","0.2","1.6","9.6","0.0","0.0","8.8"
"Adrian Peterson","DET","12.5","52.9","0.3","1.4","10.5","0.0","0.1","8.7"
"James Conner","PIT","10.2","43.5","0.3","2.1","12.3","0.0","0.1","8.6"
"Raheem Mostert","SF","9.3","48.2","0.3","1.4","11.9","0.1","0.1","8.6"
"Jordan Wilkins","IND","10.2","47.3","0.3","1.3","8.6","0.0","0.0","7.9"
"Darrell Henderson","LAR","9.7","41.9","0.3","1.2","10.5","0.0","0.0","7.6"
"Devin Singletary","BUF","8.1","37.9","0.1","2.1","15.7","0.1","0.1","7.4"
"Jerick McKinnon","SF","8.7","32.8","0.1","2.6","18.8","0.1","0.1","7.4"
"Jamaal Williams","GB","9.0","34.0","0.1","2.3","15.9","0.1","0.0","7.3"
"Austin Ekeler","LAC","5.6","25.2","0.1","2.5","22.3","0.1","0.1","7.2"
"Carlos Hyde","SEA","9.1","35.7","0.3","1.6","8.1","0.0","0.1","7.0"
"Latavius Murray","NO","10.3","42.3","0.2","1.3","8.7","0.0","0.0","6.9"
"Benny Snell Jr.","PIT","10.8","44.8","0.3","0.9","4.6","0.0","0.1","6.9"
"Malcolm Brown","LAR","8.0","32.7","0.2","1.5","10.2","0.0","0.0","6.3"
"Phillip Lindsay","DEN","10.7","43.1","0.1","1.1","6.3","0.0","0.0","6.2"
"Matt Breida","MIA","8.2","34.3","0.1","1.4","10.3","0.0","0.1","5.9"
"Tony Pollard","DAL","7.5","33.3","0.1","1.2","7.7","0.0","0.1","5.6"
"Devontae Booker","LV","6.6","29.9","0.2","1.2","8.9","0.0","0.1","5.5"
"Le'Veon Bell","KC","7.3","24.8","0.1","2.0","12.1","0.0","0.1","5.4"
"Cam Akers","LAR","8.3","33.4","0.2","0.9","5.8","0.0","0.1","5.4"
"Cordarrelle Patterson","CHI","3.6","16.9","0.1","1.7","16.1","0.1","0.0","4.9"
"Samaje Perine","CIN","8.0","28.1","0.1","1.0","6.3","0.0","0.1","4.6"
"Ty Johnson","NYJ","5.0","24.2","0.1","1.5","8.6","0.0","0.1","4.6"
"Boston Scott","PHI","4.8","18.8","0.1","1.7","12.1","0.0","0.0","4.6"
"Justice Hill","BAL","6.5","23.5","0.1","1.2","8.6","0.0","0.0","4.4"
"Ito Smith","ATL","6.1","21.1","0.1","1.1","7.2","0.0","0.0","4.3"
"Darrynton Evans","TEN","2.7","11.5","0.1","1.2","11.8","0.1","0.0","4.1"
"Sony Michel","NE","5.9","26.0","0.1","0.7","4.3","0.0","0.0","4.1"
"Joshua Kelley","LAC","6.2","22.0","0.1","1.4","8.6","0.0","0.1","4.1"
"Anthony McFarland Jr.","PIT","5.6","21.5","0.1","1.2","6.1","0.0","0.0","4.1"
"Alexander Mattison","MIN","5.2","23.6","0.1","0.9","5.6","0.0","0.1","3.9"
"Alfred Morris","NYG","5.7","26.2","0.1","0.6","2.8","0.0","0.0","3.9"
"C.J. Prosise","HOU","3.9","13.4","0.1","1.5","10.3","0.0","0.1","3.7"
"DeAndre Washington","MIA","4.9","15.3","0.1","1.3","8.2","0.0","0.1","3.5"
"Malcolm Perry","MIA","1.5","6.0","0.1","1.4","16.8","0.1","0.1","3.5"
"Patrick Laird","MIA","3.5","11.5","0.1","1.5","10.1","0.0","0.0","3.2"
"Josh Adams","NYJ","4.3","16.8","0.1","0.7","3.0","0.0","0.0","3.1"
"Dion Lewis","NYG","2.0","7.5","0.0","1.7","11.7","0.1","0.0","3.1"
"Troymaine Pope","LAC","3.5","12.4","0.0","1.3","8.3","0.0","0.0","3.1"
"Peyton Barber","WAS","5.0","16.7","0.1","0.6","2.4","0.0","0.0","2.8"
"DeeJay Dallas","SEA","3.5","12.5","0.1","1.0","6.4","0.0","0.0","2.7"
"Jalen Richard","LV","1.7","7.0","0.0","1.3","8.9","0.0","0.0","2.5"
"Royce Freeman","DEN","4.7","11.2","0.0","1.1","5.5","0.0","0.0","2.5"
"Kyle Juszczyk","SF","1.0","3.3","0.0","1.4","12.1","0.0","0.0","2.5"
"AJ Dillon","GB","4.0","13.4","0.0","1.4","4.3","0.0","0.0","2.4"
"Darrel Williams","KC","2.3","7.5","0.0","1.1","6.9","0.0","0.0","2.4"
"D'Onta Foreman","TEN","3.8","14.0","0.0","0.6","3.1","0.0","0.0","2.4"
"Jeremy McNichols","TEN","3.2","12.7","0.0","0.8","4.1","0.0","0.0","2.3"
"Jeff Wilson Jr.","SF","3.4","13.2","0.1","0.6","2.4","0.0","0.0","2.3"
"Jakob Johnson","NE","3.8","11.8","0.0","1.4","4.9","0.0","0.0","2.3"
"Jaylen Samuels","PIT","1.8","7.3","0.0","0.9","6.2","0.0","0.0","2.3"
"Scottie Phillips","HOU","0.0","10.6","0.1","0.5","4.4","0.0","0.0","2.2"
"Devine Ozigbo","JAC","2.3","8.1","0.0","1.0","6.3","0.0","0.0","2.2"
"Dare Ogunbowale","JAC","0.8","2.3","0.0","1.3","10.6","0.0","0.0","2.1"
"J.J. Taylor","NE","2.4","11.5","0.1","0.3","1.9","0.0","0.0","2.1"
"Dontrell Hilliard","CLE","1.9","9.2","0.1","0.4","3.3","0.0","0.0","2.1"
"Jonathan Williams","DET","6.3","10.2","0.0","1.2","2.7","0.0","0.1","2.0"
"Trayveon Williams","CIN","3.3","10.7","0.1","0.7","2.8","0.0","0.0","2.0"
"Qadree Ollison","ATL","2.7","9.3","0.1","0.5","2.5","0.0","0.0","2.0"
"Corey Clement","PHI","2.4","7.6","0.1","0.8","4.1","0.0","0.0","1.9"
"Eno Benjamin","ARI","1.9","9.1","0.1","0.3","2.5","0.0","0.0","1.9"
"Alec Ingold","LV","0.6","1.9","0.0","1.2","8.8","0.0","0.0","1.9"
"Trenton Cannon","CAR","2.4","6.3","0.0","1.1","5.6","0.0","0.0","1.9"
"Ryan Nall","CHI","2.3","5.9","0.0","1.0","6.0","0.0","0.0","1.9"
"Alex Collins","SEA","4.3","11.2","0.0","1.3","2.9","0.0","0.1","1.9"
"Reggie Gilliam","BUF","0.8","3.8","0.0","0.7","5.0","0.1","0.0","1.8"
"Nathan Cottrell","JAC","0.0","7.0","0.1","0.5","4.7","0.0","0.0","1.8"
"Tyler Ervin","GB","1.6","5.7","0.0","0.8","5.4","0.0","0.0","1.8"
"Travis Homer","SEA","1.1","5.7","0.0","0.7","4.8","0.0","0.0","1.8"
"Mike Boone","MIN","1.8","9.3","0.1","0.2","1.4","0.0","0.0","1.7"
"Ameer Abdullah","MIN","1.9","6.9","0.0","0.7","3.8","0.0","0.0","1.7"
"Lamar Miller","CHI","4.2","9.6","0.1","0.5","1.9","0.0","0.0","1.7"
"Ke'Shawn Vaughn","TB","2.4","8.3","0.1","0.6","2.7","0.0","0.0","1.7"
"C.J. Ham","MIN","1.1","3.2","0.0","1.0","7.3","0.0","0.0","1.7"
"Buddy Howell","HOU","3.3","7.7","0.0","0.7","2.9","0.0","0.0","1.5"
"Alex Armah","CAR","0.7","5.0","0.0","0.8","3.8","0.0","0.0","1.4"
"T.J. Yeldon","BUF","2.0","11.1","0.0","0.2","1.8","0.0","0.0","1.4"
"D'Ernest Johnson","CLE","2.6","8.1","0.0","0.5","2.0","0.0","0.0","1.3"
"LeSean McCoy","TB","3.4","6.4","0.0","0.6","2.8","0.0","0.0","1.3"
"Mike Weber","GB","1.3","5.2","0.1","0.1","1.1","0.0","0.0","1.3"
"Austin Walter","SF","1.8","5.2","0.0","0.5","2.6","0.0","0.0","1.2"
"Rico Dowdle","DAL","0.0","4.7","0.0","0.3","2.3","0.0","0.0","1.2"
"Darwin Thompson","KC","0.0","6.0","0.0","0.3","1.6","0.0","0.0","1.2"
"Raymond Calais","LAR","0.0","3.8","0.0","0.4","2.8","0.0","0.0","1.2"
"Artavis Pierce","CHI","2.0","5.9","0.0","0.8","1.9","0.0","0.0","1.1"
"Elijhaa Penny","NYG","2.8","6.2","0.0","0.5","1.7","0.0","0.0","1.1"
"Chandler Cox","MIA","0.8","2.5","0.0","0.7","5.0","0.0","0.0","1.1"
"Michael Burton","NO","2.9","5.0","0.0","0.7","1.6","0.0","0.0","1.0"
"Xavier Jones","LAR","0.0","1.4","0.0","0.3","3.3","0.0","0.0","0.9"
"Jeremy Cox","DEN","0.0","1.8","0.0","0.3","2.6","0.0","0.0","0.8"
"Dwayne Washington","NO","0.0","3.2","0.0","0.3","2.2","0.0","0.0","0.8"
"Anthony Sherman","KC","0.4","0.3","0.0","0.4","2.2","0.1","0.0","0.8"
"Keith Smith","ATL","0.0","0.6","0.0","0.4","2.6","0.0","0.0","0.7"
"Khari Blasingame","TEN","1.7","2.6","0.0","0.5","2.0","0.0","0.0","0.7"
"Taiwan Jones","BUF","0.0","0.2","0.0","0.3","3.7","0.0","0.0","0.6"
"Gabe Nabers","LAC","0.2","0.4","0.0","0.3","1.3","0.1","0.0","0.6"
"Derek Watt","PIT","0.0","0.0","0.0","0.2","0.9","0.0","0.0","0.3"
"Nick Bellore","SEA","0.0","0.0","0.0","0.2","0.8","0.0","0.0","0.3"
"Senorise Perry","TEN","0.6","2.1","0.0","0.0","0.0","0.0","0.0","0.2"
"Johnny Stanton","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Lynn Bowden Jr.","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
